ID Empleado,Función,Departamento,Región,Educación,Género,Jornada,Modalidad,Fecha Contratación,Estatus,Fecha Baja
ADM-F-10,Administrativa,Finanzas y Contabilidad,Perú,Grado,Otro,Medio Tiempo,Presencial,1-ene-13,Inactivo,11-jul-13
ADM-F-1004,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Medio Tiempo,Presencial,1-jun-14,Activo,
ADM-F-1021,Administrativa,Finanzas y Contabilidad,México,Grado,Otro,Medio Tiempo,Remoto,14-jun-14,Inactivo,28-abr-16
ADM-F-1024,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,16-jun-14,Inactivo,8-abr-20
ADM-F-1029,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,23-jun-14,Activo,
ADM-F-1033,Administrativa,Finanzas y Contabilidad,México,Grado,Otro,Medio Tiempo,Remoto,30-jun-14,Inactivo,9-ene-18
ADM-F-1043,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Remoto,10-jul-14,Inactivo,31-ago-15
ADM-F-1046,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,14-jul-14,Activo,
ADM-F-1048,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,15-jul-14,Inactivo,29-oct-14
ADM-F-1052,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,21-jul-14,Inactivo,1-ago-19
ADM-F-1058,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Remoto,28-jul-14,Inactivo,8-oct-19
ADM-F-1059,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,29-jul-14,Activo,
ADM-F-1066,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,3-ago-14,Inactivo,20-dic-15
ADM-F-1068,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,5-ago-14,Inactivo,5-dic-15
ADM-F-1084,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,16-ago-14,Inactivo,11-sept-18
ADM-F-1104,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,30-ago-14,Activo,
ADM-F-1109,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,5-sept-14,Inactivo,7-ago-19
ADM-F-1110,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Remoto,5-sept-14,Activo,
ADM-F-112,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Inactivo,25-abr-16
ADM-F-1128,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,27-sept-14,Inactivo,23-dic-18
ADM-F-1131,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,28-sept-14,Activo,
ADM-F-1133,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,30-sept-14,Inactivo,10-oct-20
ADM-F-1136,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,1-oct-14,Inactivo,22-abr-17
ADM-F-1138,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,3-oct-14,Inactivo,5-abr-15
ADM-F-1169,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,19-oct-14,Activo,
ADM-F-1218,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,8-dic-14,Inactivo,9-nov-18
ADM-F-1219,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,8-dic-14,Activo,
ADM-F-123,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,1-ene-13,Inactivo,17-sept-16
ADM-F-1259,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,22-ene-15,Activo,
ADM-F-1262,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,23-ene-15,Inactivo,4-abr-20
ADM-F-1270,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,3-feb-15,Inactivo,2-dic-15
ADM-F-1295,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,27-feb-15,Inactivo,9-dic-15
ADM-F-1301,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,5-mar-15,Inactivo,10-dic-15
ADM-F-1314,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,18-mar-15,Activo,
ADM-F-1373,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,18-may-15,Inactivo,18-nov-17
ADM-F-1389,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Remoto,29-may-15,Inactivo,26-feb-20
ADM-F-1394,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Remoto,31-may-15,Inactivo,23-sept-19
ADM-F-1413,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,13-jun-15,Activo,
ADM-F-1429,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,28-jun-15,Inactivo,28-feb-20
ADM-F-1434,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,30-jun-15,Activo,
ADM-F-1437,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,3-jul-15,Activo,
ADM-F-1444,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,9-jul-15,Activo,
ADM-F-146,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,1-ene-13,Inactivo,16-may-17
ADM-F-1462,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,22-jul-15,Activo,
ADM-F-1463,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,22-jul-15,Activo,
ADM-F-1466,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,26-jul-15,Inactivo,5-mar-18
ADM-F-147,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Inactivo,8-jul-17
ADM-F-1480,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,10-ago-15,Activo,
ADM-F-1483,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,13-ago-15,Inactivo,24-dic-16
ADM-F-1487,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,17-ago-15,Inactivo,29-jul-18
ADM-F-1513,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Presencial,8-sept-15,Activo,
ADM-F-1516,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,13-sept-15,Activo,
ADM-F-1517,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,14-sept-15,Inactivo,27-dic-15
ADM-F-152,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Medio Tiempo,Presencial,1-ene-13,Inactivo,2-oct-17
ADM-F-1522,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,16-sept-15,Activo,
ADM-F-1540,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,7-oct-15,Activo,
ADM-F-1565,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,23-oct-15,Activo,
ADM-F-157,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Inactivo,25-nov-17
ADM-F-1575,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,31-oct-15,Activo,
